,_id,Thành phố,Diện tích,Đường trước nhà,Mặt tiền,Số tầng,Số toilet,Số phòng ngủ,Loại,Hướng,Mức giá
12500,67483abea2187cd9d808c66d,hà nội,62.29,,,,2.0,2.0,CC,,4.4
12501,67483abea2187cd9d808c66e,hồ chí minh,75.0,,,,2.0,2.0,CC,,3.6
12502,67483abea2187cd9d808c66f,hồ chí minh,72.5,,,,2.0,2.0,CC,B,3.9
12503,67483abea2187cd9d808c670,hà nội,126.0,,,,2.0,3.0,CC,ĐB,4.36
12504,67483abea2187cd9d808c671,hà nội,70.0,,,,2.0,2.0,CC,TB,3.95
12505,67483abea2187cd9d808c672,hà nội,55.0,,,,2.0,2.0,CC,ĐB,2.5
12506,67483abea2187cd9d808c673,hà nội,70.0,,,,2.0,2.0,CC,TB,4.1
12507,67483abea2187cd9d808c674,hồ chí minh,475.0,,,,5.0,4.0,CC,,39.0
12508,67483abea2187cd9d808c675,hà nội,79.0,,,,2.0,2.0,CC,,6.4
12509,67483abea2187cd9d808c676,hồ chí minh,71.0,,,,2.0,2.0,CC,,17.5
12510,67483abea2187cd9d808c677,hồ chí minh,71.0,,,,2.0,2.0,CC,,15.0
12511,67483abea2187cd9d808c678,hà nội,82.0,,,,2.0,2.0,CC,,7.0
12512,67483abea2187cd9d808c679,hà nội,85.0,,,,2.0,3.0,CC,ĐB,5.4
12513,67483abea2187cd9d808c67a,hồ chí minh,74.0,,,,2.0,2.0,CC,,7.55
12514,67483abea2187cd9d808c67b,khánh hòa,71.45,,,,2.0,2.0,CC,TB,2.35
12515,67483abea2187cd9d808c67c,hồ chí minh,104.0,,,,2.0,2.0,CC,,7.18
12516,67483abea2187cd9d808c67d,khánh hòa,26.2,,,,1.0,1.0,CC,,1.45
12517,67483abea2187cd9d808c67e,quảng ninh,68.0,,,,1.0,2.0,CC,N,1.62
12518,67483abea2187cd9d808c67f,hà nội,66.5,,,,2.0,2.0,CC,,5.3
12519,67483abea2187cd9d808c680,hà nội,150.0,,,,2.0,4.0,CC,,11.1
12520,67483abea2187cd9d808c681,hải phòng,50.0,,,,1.0,1.0,CC,Đ,0.9
12521,67483abea2187cd9d808c682,hà nội,73.0,,,,2.0,3.0,CC,TB,
12522,67483abea2187cd9d808c683,hà nội,65.0,,,,1.0,2.0,CC,ĐN,3.46
12523,67483abea2187cd9d808c684,hà nội,120.0,,,,2.0,3.0,CC,,6.6
12524,67483abea2187cd9d808c685,hồ chí minh,108.0,,,,2.0,3.0,CC,Đ,
12525,67483abea2187cd9d808c686,quảng ninh,57.0,,,,2.0,2.0,CC,ĐN,1.5
12526,67483abea2187cd9d808c687,hà nội,130.0,,,,2.0,3.0,CC,TB,9.0
12527,67483abea2187cd9d808c688,hồ chí minh,123.0,,,,2.0,3.0,CC,,11.0
12528,67483abea2187cd9d808c689,hà nội,100.0,,,,2.0,3.0,CC,TB,8.9
12529,67483abea2187cd9d808c68a,bình dương,51.3,,,,2.0,2.0,CC,,1.75
12530,67483abea2187cd9d808c68b,hà nội,76.0,,,,2.0,2.0,CC,ĐN,5.0
12531,67483abea2187cd9d808c68c,hồ chí minh,81.0,,,,2.0,2.0,CC,ĐB,6.2
12532,67483abea2187cd9d808c68d,hà nội,60.0,,,,1.0,2.0,CC,TN,2.6
12533,67483abea2187cd9d808c68e,hà nội,135.0,,,,,,CC,TB,
12534,67483abea2187cd9d808c68f,đà nẵng,84.2,,,,2.0,2.0,CC,Đ,8.38
12535,67483abea2187cd9d808c690,hà nội,65.0,,,,2.0,2.0,CC,TN,2.85
12536,67483abea2187cd9d808c691,đà nẵng,68.0,,,,2.0,2.0,CC,ĐN,4.7
12537,67483abea2187cd9d808c692,hồ chí minh,53.0,,,,1.0,1.0,CC,,4.6
12538,67483abea2187cd9d808c693,đà nẵng,50.0,,,,1.0,1.0,CC,,
12539,67483abea2187cd9d808c694,hà nội,87.0,,,,2.0,3.0,CC,,4.85
12540,67483abea2187cd9d808c695,bình dương,30.0,,,,1.0,1.0,CC,,
12541,67483abea2187cd9d808c696,hồ chí minh,45.0,,,,1.0,2.0,CC,,1.4
12542,67483abea2187cd9d808c697,hà nội,120.0,,,,2.0,3.0,CC,T,
12543,67483abea2187cd9d808c698,hồ chí minh,53.0,,,,1.0,2.0,CC,T,2.05
12544,67483abea2187cd9d808c699,hà nội,69.3,,,,2.0,2.0,CC,,4.8
12545,67483abea2187cd9d808c69a,hà nội,100.0,,,,2.0,3.0,CC,,
12546,67483abea2187cd9d808c69b,hồ chí minh,98.0,,,,2.0,3.0,CC,,6.97
12547,67483abea2187cd9d808c69c,hồ chí minh,57.0,,,,1.0,2.0,CC,,2.28
12548,67483abea2187cd9d808c69d,hà nội,147.0,,,,2.0,4.0,CC,,9.1
12549,67483abea2187cd9d808c69e,hà nội,90.0,,,,2.0,2.0,CC,ĐB,
12550,67483abea2187cd9d808c69f,quảng ninh,36.0,,,,1.0,1.0,CC,,1.2
12551,67483abea2187cd9d808c6a0,hồ chí minh,112.0,,,,2.0,3.0,CC,,7.5
12552,67483abea2187cd9d808c6a1,hà nội,61.0,,,,2.0,2.0,CC,ĐN,2.87
12553,67483abea2187cd9d808c6a2,đà nẵng,69.0,,,,1.0,1.0,CC,T,1.95
12554,67483abea2187cd9d808c6a3,hồ chí minh,57.0,,,,2.0,2.0,CC,ĐN,1.84
12555,67483abea2187cd9d808c6a4,hồ chí minh,150.0,,,,3.0,4.0,CC,,40.0
